ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12643780,JF175618,03/16/2022 08:15:00 AM,032XX W HURON ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,False,False,1121.0,11.0,27.0,23.0,08A,1154440.0,1904476.0,2022.0,01/03/2023 03:40:27 PM,41.893705086,-87.708244333,"(41.893705086, -87.708244333)"
12588235,JF107946,01/09/2022 06:00:00 PM,045XX S PULASKI RD,0850,THEFT,ATTEMPT THEFT,OTHER (SPECIFY),False,False,815.0,8.0,14.0,57.0,06,1150450.0,1874167.0,2022.0,01/03/2023 03:40:27 PM,41.810612284,-87.723688645,"(41.810612284, -87.723688645)"
12901904,JF485516,11/23/2022 04:40:00 PM,014XX N MILWAUKEE AVE,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,STREET,True,True,1424.0,14.0,1.0,24.0,20,1163709.0,1909825.0,2022.0,01/03/2023 03:40:27 PM,41.908192789,-87.674051471,"(41.908192789, -87.674051471)"
12517296,JE416158,10/19/2021 07:00:00 PM,024XX W COYLE AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,False,2411.0,24.0,50.0,2.0,06,1158707.0,1946058.0,2021.0,10/26/2021 03:48:48 PM,42.007722204,-87.691429257,"(42.007722204, -87.691429257)"
12553763,JE460679,11/29/2021 06:45:00 PM,004XX W ONTARIO ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1831.0,18.0,42.0,8.0,06,1173058.0,1904403.0,2021.0,12/06/2021 03:46:37 PM,41.893112209,-87.639869247,"(41.893112209, -87.639869247)"
12879466,JF458639,11/01/2022 09:45:00 PM,006XX W HUBBARD ST,0810,THEFT,OVER $500,STREET,False,False,1214.0,12.0,27.0,24.0,06,1171640.0,1903301.0,2022.0,01/03/2023 03:40:27 PM,41.890119583,-87.645109451,"(41.890119583, -87.645109451)"
12236006,JD448472,12/03/2020 11:29:00 AM,047XX S HOYNE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,APARTMENT,False,False,931.0,9.0,15.0,61.0,15,1163160.0,1873221.0,2020.0,12/17/2020 03:40:05 PM,41.807759468,-87.677095939,"(41.807759468, -87.677095939)"
12644597,JF176625,03/17/2022 06:30:00 AM,072XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,323.0,3.0,6.0,69.0,07,1177974.0,1857100.0,2022.0,01/03/2023 03:40:27 PM,41.763198586,-87.623250737,"(41.763198586, -87.623250737)"
12718744,JF263620,06/01/2022 12:30:00 PM,053XX S KEDZIE AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,True,False,822.0,8.0,14.0,63.0,22,1155958.0,1868886.0,2022.0,01/03/2023 03:40:27 PM,41.7960115,-87.703627606,"(41.7960115, -87.703627606)"
12821053,JF388335,09/08/2022 04:10:00 PM,008XX N LAMON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1531.0,15.0,37.0,25.0,14,1143537.0,1905087.0,2022.0,01/03/2023 03:40:27 PM,41.895592729,-87.748272457,"(41.895592729, -87.748272457)"
12835792,JF406371,09/22/2022 12:46:00 PM,060XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,712.0,7.0,16.0,68.0,14,1169355.0,1864711.0,2022.0,01/03/2023 03:40:27 PM,41.784275014,-87.654620779,"(41.784275014, -87.654620779)"
12273750,JE117490,01/19/2021 03:35:00 PM,014XX W AUGUSTA BLVD,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1213.0,12.0,2.0,24.0,26,1166520.0,1906776.0,2021.0,01/26/2021 03:42:11 PM,41.899766378,-87.663812741,"(41.899766378, -87.663812741)"
12872507,JF450356,10/25/2022 10:30:00 AM,025XX W ADDISON ST,3970,INTIMIDATION,EXTORTION,SCHOOL - PUBLIC GROUNDS,False,False,1921.0,19.0,47.0,5.0,26,1158854.0,1923830.0,2022.0,01/03/2023 03:40:27 PM,41.946724511,-87.691501175,"(41.946724511, -87.691501175)"
12610061,JF134565,01/29/2022 08:00:00 PM,021XX W CONCORD PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1434.0,14.0,2.0,24.0,14,1161807.0,1910917.0,2022.0,01/03/2023 03:40:27 PM,41.91122922,-87.681007937,"(41.91122922, -87.681007937)"
12055774,JD238297,05/20/2020 08:00:00 PM,017XX W LAKE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1224.0,12.0,27.0,28.0,06,1164533.0,1901443.0,2020.0,05/27/2020 03:41:43 PM,41.88517454,-87.671262133,"(41.88517454, -87.671262133)"
12566047,JE475597,12/13/2021 07:30:00 AM,065XX N RIDGE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2412.0,24.0,50.0,2.0,14,1162443.0,1943264.0,2021.0,12/20/2021 03:40:51 PM,41.999977704,-87.677762442,"(41.999977704, -87.677762442)"
12190329,JD395862,10/11/2020 10:58:00 AM,092XX S VANDERPOEL AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,2221.0,22.0,19.0,72.0,26,1166319.0,1843169.0,2020.0,10/18/2020 03:42:44 PM,41.725225985,-87.666364252,"(41.725225985, -87.666364252)"
13028395,JG206330,05/08/2022 08:00:00 AM,018XX N MILWAUKEE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,1434.0,14.0,32.0,22.0,26,,,2022.0,04/02/2023 03:41:47 PM,,,
12305204,JE156831,03/01/2021 10:00:00 AM,025XX W 115TH ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE,False,False,2212.0,22.0,19.0,75.0,24,1161303.0,1828283.0,2021.0,03/08/2021 03:49:20 PM,41.684481395,-87.685148518,"(41.684481395, -87.685148518)"
