ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On,Location
12457755,JE343259,2020-12-31 01:29:00,060XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,311.0,3.0,20.0,40.0,14,2020,08/20/2021 03:41:02 PM,
12026284,JD204745,2020-03-14 02:00:00,031XX N ELSTON AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",STREET,False,False,1411.0,14.0,33.0,21.0,07,2020,04/12/2020 03:39:57 PM,"(41.938838167, -87.697516133)"
12659403,JF192126,2022-03-31 05:30:00,034XX S CALIFORNIA AVE,0820,THEFT,$500 AND UNDER,GAS STATION,False,False,911.0,9.0,12.0,58.0,06,2022,01/03/2023 03:40:27 PM,"(41.830812527, -87.694828962)"
12129085,JD324685,2020-08-08 02:28:00,0000X W 115TH ST,143B,WEAPONS VIOLATION,UNLAWFUL POSSESSION - OTHER FIREARM,STREET,True,False,522.0,5.0,34.0,53.0,15,2020,08/15/2020 03:43:11 PM,"(41.685291692, -87.625272219)"
12472496,JE360797,2021-09-03 22:06:00,023XX N KEYSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2525.0,25.0,35.0,20.0,08B,2021,09/10/2021 03:40:17 PM,"(41.923470438, -87.727965647)"
12361197,JE224810,2021-05-09 16:30:00,011XX N LAWLER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1531.0,15.0,37.0,25.0,08B,2021,05/16/2021 03:40:01 PM,"(41.901174616, -87.752074801)"
12226963,JD438034,2020-11-21 14:00:00,046XX W DIVERSEY AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,2521.0,25.0,31.0,20.0,06,2020,12/17/2020 03:40:05 PM,"(41.931582647, -87.742772889)"
12455683,JE340687,2021-08-17 11:30:00,015XX W CARROLL AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,FACTORY / MANUFACTURING BUILDING,True,False,1215.0,12.0,27.0,28.0,18,2021,08/24/2021 03:41:17 PM,"(41.887397843, -87.666127045)"
12331754,JE189049,2021-04-04 09:00:00,010XX W 95TH ST,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,False,False,2223.0,22.0,21.0,73.0,08B,2021,04/11/2021 03:40:46 PM,"(41.721394792, -87.648612493)"
12285437,JE130822,2021-02-02 23:01:00,026XX N HERMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1931.0,19.0,32.0,7.0,08B,2021,02/09/2021 03:40:16 PM,"(41.929028948, -87.672010544)"
12493532,JE387150,2021-09-25 16:22:00,054XX S HALSTED ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,934.0,9.0,20.0,61.0,08B,2021,10/02/2021 03:40:43 PM,"(41.795764158, -87.645195709)"
12640105,JF171224,2022-03-12 08:29:00,093XX S UNIVERSITY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,413.0,4.0,8.0,47.0,26,2022,01/03/2023 03:40:27 PM,"(41.725235581, -87.596073623)"
12340567,JE199787,2021-04-15 02:16:00,035XX S RHODES AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,212.0,2.0,4.0,35.0,08A,2021,04/22/2021 03:40:34 PM,"(41.830697249, -87.614476891)"
12355864,JE218460,2021-05-02 16:00:00,035XX W 83RD PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,834.0,8.0,18.0,70.0,11,2021,05/09/2021 03:40:49 PM,"(41.741443985, -87.710705254)"
12280015,JE125046,2021-01-27 18:55:00,101XX S YALE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,511.0,5.0,9.0,49.0,08A,2021,02/03/2021 03:40:27 PM,"(41.710058336, -87.629589478)"
12465295,JE352530,2021-08-27 23:20:00,069XX S STONY ISLAND AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,332.0,3.0,5.0,43.0,04A,2021,09/03/2021 03:40:53 PM,"(41.769467841, -87.586237993)"
12458151,JE343859,2021-08-17 00:00:00,065XX N AVONDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1612.0,16.0,41.0,9.0,07,2021,08/24/2021 03:41:17 PM,"(41.998922197, -87.813576949)"
12906179,JF489808,2022-11-27 20:21:00,019XX E 95TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,431.0,4.0,7.0,51.0,14,2022,01/03/2023 03:40:27 PM,"(41.722460108, -87.576090212)"
12813565,JF379726,2022-09-02 02:48:00,056XX W DIVISION ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,True,False,2531.0,25.0,29.0,25.0,05,2022,01/03/2023 03:40:27 PM,"(41.902120397, -87.767259237)"
12591045,JF111177,2022-01-13 07:00:00,012XX W DEVON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2432.0,24.0,49.0,1.0,07,2022,01/03/2023 03:40:27 PM,"(41.998170259, -87.662259834)"
12698598,JF241782,2022-05-14 09:27:00,067XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,322.0,3.0,6.0,69.0,08B,2022,01/03/2023 03:40:27 PM,"(41.772303877, -87.621874577)"
12621182,JF148272,2022-02-17 22:45:00,028XX W CERMAK RD,0810,THEFT,OVER $500,CURRENCY EXCHANGE,True,False,1033.0,10.0,12.0,30.0,06,2022,01/03/2023 03:40:27 PM,"(41.851891676, -87.696392208)"
12443995,JE265397,2021-06-14 11:00:00,033XX W FILLMORE ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,POLICE FACILITY / VEHICLE PARKING LOT,True,False,1134.0,11.0,24.0,29.0,18,2021,07/09/2022 03:39:59 PM,
