ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
12779065,JF338043,2022-07-30 20:00:00,124XX S NORMAL AVE,0460,BATTERY,SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,False,523,5,34,53,08B,2022,2023-01-03 15:40:27
12429246,JE308530,2021-07-20 22:53:00,007XX W LAKE ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1214,12,27,28,06,2021,2021-07-27 15:40:22
12931860,JF521391,2022-12-24 09:03:00,016XX W VAN BUREN ST,0560,ASSAULT,SIMPLE,GAS STATION,False,False,1231,12,27,28,08A,2022,2023-01-03 15:40:27
12710341,JF255777,2022-05-25 22:49:00,019XX W 54TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,932,9,16,61,15,2022,2023-02-16 15:40:20
12135241,JD331882,2020-08-14 09:35:00,043XX W ADAMS ST,2024,NARCOTICS,POSSESS - HEROIN (WHITE),VACANT LOT / LAND,True,False,1115,11,28,26,18,2020,2020-08-21 16:34:13
12810755,JF376385,2022-08-30 14:20:00,065XX W ADDISON ST,0460,BATTERY,SIMPLE,STREET,False,False,1632,16,38,17,08B,2022,2023-01-03 15:40:27
12433209,JE313512,2021-07-24 20:30:00,017XX N KEELER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,True,2534,25,26,20,08B,2021,2021-07-31 15:40:17
12503981,JE399704,2021-10-06 00:00:00,091XX S CHAPPEL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,413,4,7,48,14,2021,2021-10-13 15:49:09
12257167,JD473487,2020-12-30 11:39:00,002XX N CALIFORNIA AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,True,False,1222,12,27,27,24,2020,2021-01-06 15:40:18
12437873,JE319232,2021-07-29 22:35:00,008XX N SEDGWICK ST,031A,ROBBERY,ARMED - HANDGUN,STREET,False,False,1823,18,27,8,03,2021,2021-08-05 15:42:05
12007530,JD183792,2020-03-12 23:15:00,073XX S PEORIA ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,True,733,7,17,68,04A,2020,2020-03-19 15:45:37
12593863,JF114542,2022-01-16 09:35:00,061XX N BROADWAY,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,2433,24,48,77,06,2022,2023-01-03 15:40:27
12919682,JF506813,2022-12-10 17:30:00,043XX N LINCOLN AVE,0810,THEFT,OVER $500,STREET,False,False,1911,19,47,5,06,2022,2023-01-03 15:40:27
12578253,JE490235,2021-12-26 12:00:00,074XX S CLAREMONT AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - GARAGE,False,False,835,8,18,66,26,2021,2022-01-02 15:40:12
12735937,JF287168,2022-06-18 18:00:00,087XX W BRYN MAWR AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,False,False,1614,16,41,76,14,2022,2023-01-03 15:40:27
12839154,JF410021,2022-09-24 16:16:00,011XX W JACKSON BLVD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1232,12,25,28,06,2022,2023-01-03 15:40:27
12842739,JF414708,2022-09-29 00:49:00,026XX E 88TH ST,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,False,False,423,4,7,46,15,2022,2023-01-03 15:40:27
12332689,JE190282,2021-04-05 15:07:00,045XX S PAULINA ST,1811,NARCOTICS,POSSESS - CANNABIS 30 GRAMS OR LESS,STREET,True,False,924,9,15,61,18,2021,2021-04-12 15:41:40
12353763,JE215720,2021-05-01 00:01:00,069XX S PARNELL AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,732,7,6,68,05,2021,2021-05-08 15:40:26
12222786,JD433177,2020-11-16 15:25:00,030XX W CHICAGO AVE,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,1221,12,27,23,07,2020,2020-12-17 15:40:05
12175191,JD378245,2020-09-24 16:00:00,044XX N ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1912,19,47,3,07,2020,2020-10-01 15:43:39
12588437,JF108075,2022-01-09 19:30:00,045XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,True,1113,11,28,26,08B,2022,2023-01-03 15:40:27
12515647,JE413980,2021-10-18 14:39:00,069XX S EAST END AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),False,False,332,3,5,43,26,2021,2021-10-25 15:42:49
12816586,JF383415,2022-09-04 23:00:00,045XX N DRAKE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1723,17,33,14,08B,2022,2023-01-03 15:40:27
12337361,JE196034,2021-03-20 00:00:00,050XX N WINTHROP AVE,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,APARTMENT,False,False,2033,20,48,3,11,2021,2021-04-13 15:40:47
